id_registro,edad,genero,horas_diarias_juego,genero_juego,juego_principal,plataforma_juego,horas_sueno,calidad_sueno,frecuencia_interrupcion_sueno,rendimiento_academico_laboral,promedio_calificaciones,puntaje_productividad,estado_animo,frecuencia_cambios_humor,sintomas_abstinencia,perdida_otros_intereses,continuo_pese_problemas,fatiga_visual,dolor_espalda_cuello,cambio_peso_kg,horas_ejercicio_semanal,puntaje_aislamiento_social,horas_socializacion_presencial,gasto_mensual_juegos_usd,anos_jugando,nivel_riesgo_adiccion
GD0004,20,Femenino,7.2,RPG,Skyrim,Multi-plataforma,5.1,Regular,Frecuentemente,Deficiente,1.62,2,Retraído,Diariamente,SI,SI,NO,SI,SI,0.2,5.2,4,9.1,51.6,7,Alto
GD0008,28,Femenino,10.3,Juegos móviles,Clash of Clans,Consola,5.2,Regular,Aveces,Deficiente,,1,Ansioso,Rara vez,SI,SI,SI,SI,SI,2.4,5.6,6,0.2,299.28,13,Severo
GD0018,22,Femenino,11.3,MOBA,League of Legends,Multi-plataforma,4.6,Mala,Aveces,Deficiente,1.89,8,Ansioso,Frecuentemente,SI,NO,NO,SI,SI,5.7,4.9,9,0.9,77.24,10,Alto
GD0022,16,Femenino,6.1,MOBA,League of Legends,Consola,5.3,Regular,Aveces,Bueno,1.12,,Ansioso,Frecuentemente,NO,SI,NO,NO,SI,1.8,5.8,1,9.3,53.52,4,Moderado
GD0023,14,Femenino,6.3,RPG,Skyrim,Móvil,6.5,Buena,Rara vez,Promedio,3.27,,Ansioso,Nunca,NO,SI,NO,SI,NO,0.2,7.5,4,4.8,126.54,4,Moderado
GD0024,19,Femenino,8.9,Battle Royale,PUBG,Consola,5.7,Muy Mala,Nunca,Promedio,2.63,8,Irritable,Rara vez,SI,NO,NO,SI,SI,1.9,5.7,5,5.2,66.37,6,Alto
GD0030,19,Femenino,4.7,RPG,Skyrim,Multi-plataforma,5.8,Regular,Rara vez,Promedio,1.62,4,Irritable,A veces,NO,NO,NO,SI,NO,0.5,5.6,3,10,126.85,8,Bajo
GD0036,22,Femenino,4.6,Juegos móviles,PUBG Mobile,PC,5.4,Mala,Nunca,Promedio,1.15,6,Enojado,A veces,NO,NO,NO,SI,NO,1.6,8.4,4,8.3,80.92,12,Bajo
GD0039,16,Femenino,2.3,MOBA,League of Legends,Móvil,8.4,Buena,Frecuentemente,Promedio,1.22,,Ansioso,Diariamente,NO,NO,NO,NO,NO,0.8,7.2,2,12.3,42.43,4,Bajo
GD0045,14,Femenino,3.9,Juegos móviles,PUBG Mobile,Móvil,5.1,Mala,Aveces,Bueno,2.88,,Eufórico,Rara vez,NO,NO,NO,NO,NO,1.2,7.8,2,7.5,17.43,3,Bajo
GD0046,26,Femenino,6.2,Strategy,Age of Empires,Multi-plataforma,5.7,Regular,Nunca,Promedio,,5,Deprimido,Diariamente,NO,SI,NO,SI,SI,0.4,5.5,3,4.9,48.84,8,Moderado
GD0048,29,Femenino,6.1,FPS,Call of Duty,Móvil,6.7,Mala,Frecuentemente,Bueno,,5,Inquieto,Diariamente,NO,SI,NO,SI,SI,0.8,7.7,2,10.7,110.74,14,Moderado
GD0049,16,Femenino,5.9,RPG,Skyrim,Consola,5.4,Regular,Frecuentemente,Promedio,2.11,,Deprimido,Nunca,NO,NO,NO,NO,NO,0.7,6,3,7.6,125.89,2,Bajo
GD0050,15,Femenino,5.1,MMO,World of Warcraft,PC,6.5,Mala,Nunca,Por debajo del promedio,3.87,,Enojado,A veces,NO,NO,NO,NO,NO,0.6,6.2,2,8.8,39.9,1,Bajo
GD0054,20,Femenino,0.5,Juegos móviles,Genshin Impact,Multi-plataforma,7.2,Buena,Aveces,Excelente,3.39,4,Deprimido,Rara vez,NO,NO,NO,NO,NO,0.1,10,1,13.9,9.04,5,Bajo
GD0055,22,Femenino,5.8,FPS,CS:GO,PC,6.7,Buena,Rara vez,Promedio,2.3,3,Eufórico,A veces,NO,NO,NO,SI,NO,1.3,6.4,3,10.5,114.52,5,Bajo
GD0060,33,Femenino,7.2,Juegos móviles,PUBG Mobile,Multi-plataforma,4.2,Regular,Rara vez,Por debajo del promedio,,9,Ansioso,Frecuentemente,NO,NO,NO,SI,SI,0.7,7.6,5,9,96.57,8,Bajo
GD0061,22,Femenino,5.6,FPS,Call of Duty,Consola,5.3,Buena,Nunca,Promedio,2.08,4,Normal,A veces,NO,SI,NO,NO,SI,0.7,7.7,3,9.7,144.26,10,Moderado
GD0064,19,Femenino,6.6,FPS,Valorant,Móvil,3.3,Muy Mala,Frecuentemente,Por debajo del promedio,3.09,10,Irritable,A veces,SI,SI,NO,SI,SI,2.3,8,4,9.5,144.41,9,Alto
GD0065,26,Femenino,4.9,Strategy,StarCraft II,Móvil,5.7,Regular,Frecuentemente,Deficiente,,5,Irritable,Rara vez,NO,NO,NO,SI,NO,1.2,8.8,3,9.5,60.06,10,Bajo
GD0067,23,Femenino,4.7,RPG,Skyrim,Multi-plataforma,5.1,Buena,Aveces,Promedio,,8,Enojado,Nunca,NO,NO,NO,SI,NO,1.2,7,4,10.7,108,8,Bajo
GD0069,20,Femenino,6.2,Juegos móviles,Genshin Impact,Consola,5.8,Muy Mala,Nunca,Promedio,3.51,2,Irritable,Rara vez,NO,SI,NO,SI,SI,3.3,6.7,5,9.6,42.1,8,Moderado
GD0070,18,Femenino,15.1,MMO,World of Warcraft,PC,4.8,Regular,Frecuentemente,Por debajo del promedio,3.05,,Inquieto,Frecuentemente,SI,NO,NO,SI,SI,0,4.2,10,0,209.75,6,Alto
GD0073,17,Femenino,4,Juegos móviles,Genshin Impact,Multi-plataforma,5.8,Regular,Aveces,Bueno,3.1,,Enojado,A veces,NO,NO,NO,NO,NO,3.3,6.3,2,7.4,18.88,1,Bajo
GD0078,16,Femenino,5.7,MOBA,League of Legends,Multi-plataforma,6.8,Mala,Aveces,Promedio,2.48,,Inquieto,A veces,NO,NO,NO,SI,SI,1.5,8.4,4,8.5,136.3,2,Bajo
GD0080,16,Femenino,9,Juegos móviles,Genshin Impact,Móvil,5.8,Mala,Nunca,Deficiente,2.32,,Inquieto,Frecuentemente,SI,NO,SI,SI,SI,3.7,3.8,5,6,192.38,1,Severo
GD0081,22,Femenino,7.2,Juegos móviles,Genshin Impact,Multi-plataforma,3.6,Muy Mala,Rara vez,Deficiente,1.98,1,Irritable,Diariamente,SI,NO,NO,SI,NO,1.7,6.5,4,8,32.86,11,Moderado
GD0082,17,Femenino,10.8,MMO,World of Warcraft,Multi-plataforma,5,Regular,Rara vez,Deficiente,3.56,,Ansioso,Frecuentemente,SI,NO,SI,SI,SI,0.4,2.9,7,0.8,462.43,3,Severo
